wkt_geom,sid,objectid,c28992r100,inw2014,i2014_014,i2014_1524,i2014_2544,i2014_4564,i2014_65pl,p_auto2014,p_wal2014,p_nwal2014,won2012,wozwon2012,i2014_1564,Disable
"Polygon ((85800 443699.9999999962747097, 85900 443699.9999999962747097, 85900 443600, 85800 443600, 85800 443699.9999999962747097))",353264,353264,E0858N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99997,0,-99998
"Polygon ((85900 443699.9999999962747097, 86000.0000000037252903 443699.9999999962747097, 86000.0000000037252903 443600, 85900 443600, 85900 443699.9999999962747097))",353265,353265,E0859N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((86000.0000000037252903 443699.9999999962747097, 86100.0000000037252903 443699.9999999962747097, 86100.0000000037252903 443600, 86000.0000000037252903 443600, 86000.0000000037252903 443699.9999999962747097))",353266,353266,E0860N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((89100 443699.9999999962747097, 89200 443699.9999999962747097, 89200 443600, 89100 443600, 89100 443699.9999999962747097))",353267,353267,E0891N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,0
"Polygon ((89200 443699.9999999962747097, 89300.0000000037252903 443699.9999999962747097, 89300.0000000037252903 443600, 89200 443600, 89200 443699.9999999962747097))",353268,353268,E0892N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99997,0,-99998
"Polygon ((89300.0000000037252903 443699.9999999962747097, 89400.0000000037252903 443699.9999999962747097, 89400.0000000037252903 443600, 89300.0000000037252903 443600, 89300.0000000037252903 443699.9999999962747097))",353269,353269,E0893N4436,15,5,5,0,5,0,geheim,geheim,geheim,5,529,10,3
"Polygon ((89400.0000000037252903 443699.9999999962747097, 89500 443699.9999999962747097, 89500 443600, 89400.0000000037252903 443600, 89400.0000000037252903 443699.9999999962747097))",353270,353270,E0894N4436,5,0,0,0,0,0,geheim,geheim,geheim,0,-99997,0,4
"Polygon ((90300 443699.9999999962747097, 90400.0000000037252903 443699.9999999962747097, 90400.0000000037252903 443600, 90300 443600, 90300 443699.9999999962747097))",353271,353271,E0903N4436,0,0,0,0,0,0,geheim,geheim,geheim,0,-99999,0,0
"Polygon ((90400.0000000037252903 443699.9999999962747097, 90500.0000000037252903 443699.9999999962747097, 90500.0000000037252903 443600, 90400.0000000037252903 443600, 90400.0000000037252903 443699.9999999962747097))",353272,353272,E0904N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,0,-99997,0,-99998
"Polygon ((90500.0000000037252903 443699.9999999962747097, 90600 443699.9999999962747097, 90600 443600, 90500.0000000037252903 443600, 90500.0000000037252903 443699.9999999962747097))",353273,353273,E0905N4436,-99998,0,0,0,0,0,nihil,nihil,nihil,-99998,-99998,0,-99998
