wkt_geom,id,name,desc,ModeType,Rh1_Wd/h,Rd2_Wd/h,NRh_Wd/h,Rh1_We/h,Rh2_We/h,NRh_We/h
Point (94080.01164425647584721 445968.02536410093307495),1415,Rembrandtlaan,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (94125.01153215009253472 446008.02556935092434287),1416,Rembrandtlaan,Buslijn 172 Zone 5320,Bus,3,3,1,2,2,0
Point (99915.02620487345848233 437738.03610877075698227),1417,Rembrandtsingel,Buslijn 37 Zone 5322,Bus,4,1,1,2,1,1
Point (99929.02621756581356749 437738.03652789915213361),1418,Rembrandtsingel,"Buslijn 37, BOB-buslijn 4 Zone 5300",Bus,16,11,9,12,8,5
Point (100183.03737625404028222 431639.03662235045339912),1419,Rembrandtweg,Buslijn 146 Zone 5334,Bus,3,3,3,3,3,3
Point (100190.03739855607273057 431627.03690768941305578),1420,Rembrandtweg,"Buslijn 146, BOB-buslijn 16 Zone 5300",Bus,8,7,6,7,9,5
Point (90535.04267118411371484 431602.01737245434196666),1421,Remise Waalhaven,BOB-buslijn 7 Zone 5300,Bus,4,4,3,4,2,1
Point (98815.01877559762215242 441876.03412601200398058),1422,Reuzel,BOB-buslijn 1 Zone 5300,Bus,3,3,1,2,2,1
Point (98763.01885878325265367 441850.03459613589802757),1423,Reuzel,BOB-buslijn 5 Zone 5300,Bus,9,7,4,7,6,2
Point (88317.04630650457693264 430511.01280866214074194),1424,Rhoon,Metrolijn D Zone 5316 Dit metrostation is toegankelijk met een rolstoel.,Metro,6,6,4,6,6,4
Point (88317.04630650457693264 430511.01280866214074194),1425,Rhoon,Metrolijn D Zone 5316 Dit metrostation is toegankelijk met een rolstoel.,Metro,6,6,4,6,6,4
Point (88237.04646662753657438 430455.01232100941706449),1426,Rhoon Metro,BOB-buslijn 7 Zone 5300,Bus,4,4,3,4,2,1
Point (102410.03498702860088088 432318.04159075481584296),1427,Ridderhaven,Buslijn 290 Zone 5334,Bus,12,12,9,10,10,5
Point (102404.03498694303561933 432312.04074692534049973),1428,Ridderhaven,Buslijn 290 Zone 5334,Bus,12,12,9,10,10,5
Point (101999.03525221471500117 432277.0402280010166578),1429,Ridderpoort,Buslijn 290 Zone 5334,Bus,12,12,9,10,10,5
Point (102005.03534877474885434 432226.04011583188548684),1430,Ridderpoort,Buslijn 290 Zone 5334,Bus,12,12,9,10,10,5
Point (91343.03661304933484644 434278.01908004964934662),1431,Rietdijk,"Buslijn 73, Buslijn 46 Zone 5314",Bus,10,9,6,8,9,5
Point (91368.03664668247802183 434260.01954197598388419),1432,Rietdijk,"Buslijn 73, Buslijn 46 Zone 5314",Bus,10,9,6,8,9,5
Point (98079.02493655603029765 438760.03340331627987325),1433,Rietkerkweg,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (98043.02506198290211614 438724.03284223796799779),1434,Rietkerkweg,Buslijn 37 Zone 5321,Bus,4,1,1,2,1,1
Point (92377.02271570032462478 440761.02147109323414043),1435,Rijndam Revalidatiecentrum,"Buslijn 35, Buslijn 174 Zone 5310",Bus,12,11,7,10,6,5
Point (92401.02252774860244244 440828.02125895151402801),1436,Rijndam revalidatiecentrum,"Buslijn 35, Buslijn 174 Zone 5310",Bus,12,11,7,10,6,5
Point (93710.03331169149896596 435376.02444121014559641),1437,Rijnhaven,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (93711.03329184150788933 435379.02418744721217081),1438,Rijnhaven,Buslijn 77 Zone 5314,Bus,4,2,1,4,2,1
Point (93732.03321349091129377 435422.02421525772660971),1439,Rijnhaven,"Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.",Metro,10,10,6,10,10,6
Point (93732.03321349091129377 435422.02421525772660971),1440,Rijnhaven,"Metrolijn D, Metrolijn E Zone 5314 Dit metrostation is toegankelijk met een rolstoel.",Metro,10,10,6,10,10,6
Point (99578.03374926434480585 433758.03636795154307038),1441,Rijnsingel,"Buslijn 144, Buslijn 140 Zone 5324",Bus,15,13,10,14,12,7
Point (99612.03364849166246131 433832.03603336308151484),1442,Rijnsingel,"Buslijn 144, Buslijn 140 Zone 5324",Bus,15,13,10,14,12,7
Point (68746.01895609496568795 444543.9643346190568991),1443,Rijpstraat,BOB-buslijn 19 Zone 5300,Bus,6,5,4,3,3,1
Point (88827.00755962599941995 448097.01427169953240082),1444,Rijskade,BOB-buslijn 10 Zone 5300,Bus,4,3,2,4,3,1
Point (87214.02886042422323953 438626.01012048224220052),1445,Ringersstraat,Buslijn 53 Zone 5327,Bus,4,4,3,4,4,3
Point (87206.02872467854467686 438694.00996264949208125),1446,Ringersstraat,"Buslijn 53, BOB-buslijn 3 Zone 5300",Bus,10,10,7,9,9,5
Point (101399.01613114739302546 443008.03965568891726434),1447,Ringvaartlaan,BOB-buslijn 1 Zone 5300,Bus,3,3,1,2,2,1
Point (97060.02669673421769403 438042.03152860142290592),1448,Ringvaartplas,"Buslijn 36, BOB-buslijn 4 Zone 5300",Bus,16,12,9,13,9,2
Point (97039.02673951408360153 438003.03137215244350955),1449,Ringvaartplas,"Buslijn 36, BOB-buslijn 5 Zone 5300",Bus,13,9,5,10,8,3
Point (99864.02483396866591647 438522.03643399628344923),1450,Rivierweg,"Buslijn 31, Buslijn 37 Zone 5322",Bus,7,3,3,4,2,2
Point (99867.02485878756851889 438503.0370445359731093),1451,Rivierweg,"Buslijn 31, Buslijn 37 Zone 5322",Bus,7,3,3,4,2,2
Point (97247.02950731939927209 436531.03181715123355389),1452,Rivium,BOB-buslijn 4 Zone 5300,Bus,12,10,8,10,7,4
Point (97153.03001790400594473 436289.03103604906937107),1453,Rivium 1e straat,Buslijn 95 Zone 5311,Bus,7,7,7,5,5,4
